track_title,track_number,album_name,album_release_date,duration_ms,explicit,popularity,danceability,acousticness,valence,tempo,track_negative,track_positive,track_sentiment,unique_nontitle_words_in_track,track_average_scrabble_score
22,6,Red (Deluxe Edition),10/22/12,230133,FALSE,63,0.658,0.00215,0.668,104.007,2,4,2,18,10.55555556
...Ready For It?,1,reputation,11/10/17,208186,FALSE,74,0.613,0.0527,0.417,160.015,4,2,-2,33,9.636363636
'tis the damn season,4,evermore (deluxe version),1/7/21,229840,FALSE,67,0.575,0.735,0.348,145.916,3,1,-2,37,9.714285714
A Perfectly Good Heart,14,Taylor Swift,10/24/06,220146,FALSE,50,0.483,0.00349,0.268,156.092,1,0,-1,13,9.384615385
A Place in this World,4,Taylor Swift,10/24/06,199200,FALSE,54,0.576,0.051,0.428,115.028,1,2,1,20,9.631578947
Afterglow,15,Lover,8/23/19,223293,FALSE,71,0.756,0.13,0.399,111.011,4,2,-2,36,10.05555556
All Too Well,5,Red (Deluxe Edition),10/22/12,327893,FALSE,70,0.602,0.0382,0.337,93.06,9,6,-3,81,9.166666667
All You Had To Do Was Stay,5,1989 (Deluxe Edition),10/27/14,193293,FALSE,58,0.605,0.00201,0.539,96.97,1,0,-1,11,10.72727273
august,8,folklore (deluxe version),8/18/20,261920,FALSE,66,0.387,0.553,0.42,89.567,1,1,0,16,8.9375
Back To December,3,Speak Now (Deluxe Edition),10/25/10,293026,FALSE,59,0.529,0.117,0.286,141.893,10,4,-6,47,9.574468085
Bad Blood,8,1989 (Deluxe Edition),10/27/14,211933,FALSE,57,0.646,0.0885,0.287,170.216,6,4,-2,24,8.583333333
Begin Again,16,Red (Deluxe Edition),10/22/12,237613,FALSE,56,0.53,0.199,0.323,79.025,0,1,1,34,9.529411765
Better Than Revenge,10,Speak Now (Deluxe Edition),10/25/10,217160,FALSE,64,0.516,0.0139,0.635,145.821,3,2,-1,36,9.611111111
betty,14,folklore (deluxe version),8/18/20,294520,TRUE,64,0.595,0.589,0.476,95.946,3,2,-1,50,10.82
Blank Space,2,1989 (Deluxe Edition),10/27/14,231826,FALSE,62,0.76,0.103,0.57,95.997,13,6,-7,57,9.446428571
Breathe (Ft. Colbie Caillat),13,Fearless Platinum Edition,11/11/08,263986,FALSE,55,0.498,0.373,0.17,147.952,6,0,-6,18,8.722222222
Call It What You Want,14,reputation,11/10/17,203506,FALSE,71,0.598,0.186,0.252,163.954,5,3,-2,56,9.981818182
cardigan,2,folklore (deluxe version),8/18/20,239560,FALSE,67,0.612,0.525,0.534,130.045,12,2,-10,70,9.897058824
champagne problems,2,evermore (deluxe version),1/7/21,244000,TRUE,69,0.462,0.92,0.32,171.319,4,5,1,66,10.1875
Change,19,Fearless Platinum Edition,11/11/08,281053,FALSE,50,0.548,0.00471,0.224,96.038,6,3,-3,32,9.5
Clean,13,1989 (Deluxe Edition),10/27/14,271000,FALSE,62,0.815,0.232,0.211,103.97,7,1,-6,33,8.818181818
closure,14,evermore (deluxe version),1/7/21,180653,FALSE,63,0.689,0.835,0.92,151.884,5,2,-3,26,8.791666667
Cold As You,5,Taylor Swift,10/24/06,239013,FALSE,54,0.418,0.217,0.261,175.558,5,3,-2,25,8.88
Come Back...Be Here,18,Red (Deluxe Edition),10/22/12,222706,FALSE,56,0.483,0.00471,0.217,79.926,5,4,-1,32,9.84375
Come In With The Rain,4,Fearless Platinum Edition,11/11/08,238106,FALSE,53,0.527,0.0868,0.224,143.962,NA,NA,NA,14,7.5
coney island (Ft. The National),9,evermore (deluxe version),1/7/21,275320,FALSE,65,0.537,0.819,0.292,107.895,6,9,3,59,9.898305085
Cornelia Street,9,Lover,8/23/19,287266,FALSE,71,0.824,0.781,0.248,102.012,2,3,1,48,9.604166667
cowboy like me,11,evermore (deluxe version),1/7/21,275040,TRUE,65,0.604,0.768,0.511,127.967,5,1,-4,37,9.243243243
Cruel Summer,2,Lover,8/23/19,178426,FALSE,77,0.552,0.117,0.564,169.994,9,3,-6,30,9.931034483
Dancing With Our Hands Tied,11,reputation,11/10/17,211506,FALSE,69,0.624,0.0604,0.284,160.024,4,3,-1,26,9.692307692
Daylight,18,Lover,8/23/19,293453,FALSE,69,0.557,0.808,0.265,149.983,9,3,-6,49,9.795918367
Dear John,5,Speak Now (Deluxe Edition),10/25/10,403920,FALSE,63,0.589,0.166,0.102,119.386,14,6,-8,70,9.594202899
Death By A Thousand Cuts,10,Lover,8/23/19,198533,FALSE,71,0.712,0.454,0.313,94.071,4,1,-3,33,7.96875
Delicate,5,reputation,11/10/17,232253,FALSE,78,0.75,0.216,0.0499,95.045,2,2,0,37,8.72972973
Don't Blame Me,4,reputation,11/10/17,236413,FALSE,73,0.615,0.106,0.193,135.917,7,3,-4,34,9.235294118
dorothea,8,evermore (deluxe version),1/7/21,225880,FALSE,65,0.605,0.696,0.354,119.966,2,1,-1,30,10.03703704
Dress,12,reputation,11/10/17,230373,FALSE,69,0.719,0.0329,0.0851,120.085,8,0,-8,25,11.52
Enchanted,9,Speak Now (Deluxe Edition),10/25/10,352186,FALSE,57,0.455,0.0739,0.208,163.893,3,2,-1,37,11.62162162
End Game (Ft. Ed Sheeran & Future),2,reputation,11/10/17,244826,FALSE,72,0.649,0.00845,0.151,159.073,10,7,-3,73,8.902777778
epiphany,13,folklore (deluxe version),8/18/20,289746,FALSE,61,0.317,0.727,0.103,93.933,3,0,-3,20,9.55
evermore (Ft. Bon Iver),15,evermore (deluxe version),1/7/21,304106,FALSE,65,0.39,0.937,0.32,125.177,4,0,-4,42,10.33333333
Everything Has Changed (Ft. Ed Sheeran),14,Red (Deluxe Edition),10/22/12,243933,FALSE,58,0.624,0.36,0.436,80.017,3,3,0,29,8.965517241
